sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),variety
0,5.1,2.5,3.0,1.1,versicolor
1,6.4,2.7,5.3,1.9,virginica
2,5.9,3.0,5.1,1.8,virginica
3,5.0,3.4,1.6,0.4,setosa
4,6.3,2.5,5.0,1.9,virginica
5,5.6,2.8,4.9,2.0,virginica
6,5.1,3.4,1.5,0.2,setosa
7,7.2,3.0,5.8,1.6,virginica
8,6.1,2.9,4.7,1.4,versicolor
9,6.6,2.9,4.6,1.3,versicolor
10,5.4,3.7,1.5,0.2,setosa
11,5.7,2.9,4.2,1.3,versicolor
12,6.3,2.8,5.1,1.5,virginica
13,5.8,2.6,4.0,1.2,versicolor
14,4.5,2.3,1.3,0.3,setosa
15,6.7,3.1,4.7,1.5,versicolor
16,5.9,3.0,4.2,1.5,versicolor
17,6.1,2.8,4.0,1.3,versicolor
18,5.7,2.8,4.5,1.3,versicolor
19,6.1,3.0,4.9,1.8,virginica
20,6.7,3.3,5.7,2.1,virginica
21,5.5,3.5,1.3,0.2,setosa
22,4.8,3.0,1.4,0.3,setosa
23,6.5,3.0,5.5,1.8,virginica
24,6.0,3.0,4.8,1.8,virginica
25,6.4,2.8,5.6,2.2,virginica
26,7.9,3.8,6.4,2.0,virginica
27,6.3,3.4,5.6,2.4,virginica
28,5.0,2.0,3.5,1.0,versicolor
29,6.4,2.9,4.3,1.3,versicolor
30,4.9,3.1,1.5,0.1,setosa
31,5.8,2.7,3.9,1.2,versicolor
32,4.6,3.4,1.4,0.3,setosa
33,7.6,3.0,6.6,2.1,virginica
34,5.0,3.6,1.4,0.2,setosa
35,5.5,2.3,4.0,1.3,versicolor
36,5.0,3.3,1.4,0.2,setosa
37,5.1,3.7,1.5,0.4,setosa
38,6.3,2.7,4.9,1.8,virginica
39,5.4,3.4,1.7,0.2,setosa
40,6.4,3.1,5.5,1.8,virginica
41,6.3,3.3,4.7,1.6,versicolor
42,5.8,2.7,4.1,1.0,versicolor
43,5.6,2.9,3.6,1.3,versicolor
44,6.7,3.3,5.7,2.5,virginica
45,5.7,2.6,3.5,1.0,versicolor
46,5.8,2.7,5.1,1.9,virginica
47,5.6,3.0,4.1,1.3,versicolor
48,5.7,2.8,4.1,1.3,versicolor
49,5.7,3.8,1.7,0.3,setosa
50,5.7,4.4,1.5,0.4,setosa
51,6.3,2.3,4.4,1.3,versicolor
52,5.6,2.5,3.9,1.1,versicolor
53,7.2,3.2,6.0,1.8,virginica
54,5.1,3.8,1.5,0.3,setosa
55,5.1,3.5,1.4,0.3,setosa
56,6.5,3.2,5.1,2.0,virginica
57,7.7,2.6,6.9,2.3,virginica
58,7.1,3.0,5.9,2.1,virginica
59,5.8,4.0,1.2,0.2,setosa
60,5.3,3.7,1.5,0.2,setosa
61,5.4,3.9,1.7,0.4,setosa
62,4.8,3.0,1.4,0.1,setosa
63,6.8,3.2,5.9,2.3,virginica
64,6.7,3.1,5.6,2.4,virginica
65,5.8,2.8,5.1,2.4,virginica
66,5.1,3.3,1.7,0.5,setosa
67,5.0,3.5,1.3,0.3,setosa
68,6.3,2.5,4.9,1.5,versicolor
69,5.1,3.5,1.4,0.2,setosa
70,6.7,3.1,4.4,1.4,versicolor
71,4.6,3.6,1.0,0.2,setosa
72,7.7,2.8,6.7,2.0,virginica
73,6.7,3.0,5.2,2.3,virginica
74,5.9,3.2,4.8,1.8,versicolor
75,5.4,3.0,4.5,1.5,versicolor
76,7.7,3.8,6.7,2.2,virginica
77,5.2,4.1,1.5,0.1,setosa
78,5.6,3.0,4.5,1.5,versicolor
79,4.9,3.6,1.4,0.1,setosa
80,5.5,2.4,3.8,1.1,versicolor
81,6.1,2.8,4.7,1.2,versicolor
82,4.9,3.1,1.5,0.2,setosa
83,6.4,3.2,4.5,1.5,versicolor
84,6.5,3.0,5.8,2.2,virginica
85,6.8,2.8,4.8,1.4,versicolor
86,6.2,2.8,4.8,1.8,virginica
87,6.4,2.8,5.6,2.1,virginica
88,4.8,3.4,1.6,0.2,setosa
89,5.5,4.2,1.4,0.2,setosa
90,6.5,3.0,5.2,2.0,virginica
91,6.5,2.8,4.6,1.5,versicolor
92,7.7,3.0,6.1,2.3,virginica
93,6.3,2.9,5.6,1.8,virginica
94,5.8,2.7,5.1,1.9,virginica
95,5.0,3.4,1.5,0.2,setosa
96,5.4,3.9,1.3,0.4,setosa
97,7.3,2.9,6.3,1.8,virginica
98,7.4,2.8,6.1,1.9,virginica
99,7.0,3.2,4.7,1.4,versicolor
100,6.2,2.2,4.5,1.5,versicolor
101,6.9,3.1,5.1,2.3,virginica
102,4.4,3.2,1.3,0.2,setosa
103,6.2,3.4,5.4,2.3,virginica
104,6.2,2.9,4.3,1.3,versicolor
105,4.6,3.2,1.4,0.2,setosa
106,4.8,3.1,1.6,0.2,setosa
107,5.2,3.4,1.4,0.2,setosa
108,5.2,3.5,1.5,0.2,setosa
109,5.0,3.0,1.6,0.2,setosa
110,6.0,2.2,4.0,1.0,versicolor
111,4.8,3.4,1.9,0.2,setosa
112,6.7,3.0,5.0,1.7,versicolor
113,5.0,3.5,1.6,0.6,setosa
114,5.5,2.6,4.4,1.2,versicolor
115,4.9,3.0,1.4,0.2,setosa
116,5.0,2.3,3.3,1.0,versicolor
117,5.2,2.7,3.9,1.4,versicolor
118,6.8,3.0,5.5,2.1,virginica
119,5.5,2.5,4.0,1.3,versicolor
