sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),id
82,6.0,2.2,5.0,1.5,d0419a24-07b9-4bc7-855f-b07b224c9eee
46,5.9,3.0,5.1,1.8,551e935c-910f-4972-aca5-1fd00915847b
78,4.9,3.1,1.5,0.1,397333ac-68bf-4eb8-9d85-ead1850894fa
24,5.9,3.2,4.8,1.8,7800c4bd-6435-40d9-8fc7-261d8e94ef24
81,7.2,3.0,5.8,1.6,28642a0b-bc3d-422c-a30c-4c76f7b63886
50,5.2,3.4,1.4,0.2,71c1626d-1900-4f6f-905b-817e6ff7ec95
112,4.6,3.6,1.0,0.2,f45434dc-98e7-4070-89b3-45a00073a881
93,6.0,3.0,4.8,1.8,d4c42111-b099-49b8-89d4-fd728d1e0401
86,6.5,3.2,5.1,2.0,bd95d1d9-43a4-4f5b-b1dc-31b0cfec4c3d
63,5.5,4.2,1.4,0.2,4ce0e987-d978-4960-b505-c91983aaa519
75,4.9,2.5,4.5,1.7,056dc843-6ccc-449d-a1fd-387affe99c12
80,5.9,3.0,4.2,1.5,3b78ec86-09e1-4210-ad37-0a6a4034f7dd
76,6.3,2.9,5.6,1.8,69764078-6bd7-44f8-a5eb-90e34ce8fe85
29,5.2,2.7,3.9,1.4,ecf15f58-b4c6-4bb2-9a9c-26eaddf65d7f
73,7.7,2.6,6.9,2.3,035e9cc4-505e-493a-ba47-89b5bdb9d062
88,5.5,3.5,1.3,0.2,fa72eaf9-cd64-43cf-9f7d-28a7aca2e1e4
36,5.1,3.4,1.5,0.2,3f768223-50f0-4c7a-8d48-e67a77779b2e
61,6.5,2.8,4.6,1.5,36801e05-4024-46fa-a70d-97a6f9f726ec
103,6.7,3.1,5.6,2.4,4447848c-c118-4958-b82a-ac85bc97b718
51,5.0,3.5,1.6,0.6,1d50905b-84af-4b82-b893-35d70d2cff9e
